1,"
上海市浦东新区江镇社区单元（PDS6-0201）控制性详细规划B6街坊局部调整（实施深化）
",2017-11-17
2,"
上海市浦东新区花木世纪公园单元（C000302）10街坊、花木杨东社区单元（C000601）01街坊、塘桥街...
",2017-10-27
3,"
黄浦江南延伸段三林滨江南片地区（Z000801单元）东区控制性详细规划增补图则（含重点地区附加图...
",2017-10-24
4,"
浦东新区唐镇镇南社区（PDP0-0408）单元东区控制性详细规划
",2017-09-29
5,"
张江南区配套生活基地控制性详细规划A4、A5、A6、A7街坊局部调整
",2017-09-25
6,"
浦东新区租赁住房地块所在街坊（部分）控详规划局部调整（实施深化）（上钢社区和南码头社区三块...
",2017-09-23
7,"
张家浜楔形绿地（Y001301、Z001501单元）控制性详细规划修编
",2017-08-29
8,"
浦东新区耀华地块Z000101单元（黄浦江沿岸ES2单元）世博文化公园（暂定名）控制性详细规划（实施...
",2017-08-09
9,"
上海市浦东新区张江西北片区单元（Z00-1601、Z00-1801、Z00-1201）控制性详细规划修编
",2017-08-02
10,"
上海市浦东新区国家实验室单元控制性详细规划修编
",2017-08-01
11,"
上海市浦东新区新场镇16号线核心单元PDS2-0101控制性详细规划
",2017-07-20
12,"
上海市浦东新区联洋社区C000302编制单元控制性详细规划02街坊局部调整（实施深化）
",2017-07-20
13,"
浦东新区民乐大型居住社区（PDS3-0201单元）控制性详细规划修编
",2017-07-14
14,"
上海市浦东新区联洋社区C000302编制单元控制性详细规划10街坊局部调整（实施深化）
",2017-05-17
15,"
上海市世博A片区单元（Z000201）A11街坊控制性详细规划局部调整（实施深化）
",2017-05-16
16,"
北蔡培花社区单元（Z000501）西片区（文化公园）控规局部调整
",2017-05-09
17,"
黄浦江沿岸E10单元E04街坊控详局部调整（实施深化）
",2017-05-04
18,"
康桥工业区东区PDP0-1402单元控制性详细规划E08、E09街坊局部调整（实施深化）
",2017-04-12
19,"
浦东新区金杨社区Y001003单元02街坊控制性详细规划局部调整（实施深化）
",2017-03-13
20,"
浦东新区梅园社区C000102单元10街坊控制性详细规划局部调整实施深化
",2017-03-13
21,"
张江技创区单元（Z00-1601）05街坊控制性详细规划（实施深化）
",2017-02-09
22,"
浦东新区张江南二Z00-2001单元（申江路以西地区）控制性详细规划C1街坊局部调整（实施深化）
",2017-02-09
23,"
上海市黄浦江南延伸段三林滨江南片地区（Z000801单元）控制性详细规划16街坊实施深化（电力黄线...
",2017-02-07
24,"
五号沟港区单元PDT00204(外高桥港区六期）控详规划调整（实施深化）审批
",2017-01-26
25,"
曹路科教园区单元（PDP0-0306）C1街坊控详规划局部调整
",2016-12-30
26,"
东沟楔形绿地(Y00-502单元）控制性详细规划A11街坊局部调整（实施深化）
",2016-12-23
27,"
浦东新区黄浦江沿岸单元（杨浦大桥至徐浦大桥）控详规划局部调整（暨浦东新区黄浦江滨江开放贯通...
",2016-12-20
28,"
浦东新区北蔡培花Z000501单元（白杨路以东片区）控制性详细规划
",2016-12-20
29,"
浦东新区联洋社区C000302编制单元控制性详细规划06街坊局部调整（实施深化）（上海图书馆东馆）
",2016-12-13
30,"
浦东新区曹路集镇PDP0-0304单元A2A3街坊局部调整（实施深化）
",2016-11-29
31,"
浦东新区六里社区Z000402单元08街坊控制性详细规划局部调整
",2016-11-22
32,"
浦东新区康桥工业园区南区PDS1-0102单元控规A01b、A03、A03b、A03c街坊局部调整（实施深化）
",2016-11-14
33,"
浦东新区三林外环外地区生态专项规划（含筠溪特色小镇专项规划）
",2016-10-18
34,"
上海市浦东新区北蔡社区Z000502编制单元控制性详细规划1-07街坊局部调整（实施深化）
",2016-10-08
35,"
上海市浦东新区轨交18号线航头停车场地块综合利用项目控制性详细规划
",2016-09-30
36,"
浦东新区张江中试产业区Z00-1801编制单元控制性详细规划1、3街坊局部调整（实施深化）
",2016-09-20
37,"
北蔡培花社区Z000501单元控规05街坊局部调整（实施深化）
",2016-09-20
38,"
合庆镇总体规划暨土地利用总体规划（2015-2040）
",2016-09-08
39,"
上海市浦东新区黄浦江北延伸段EN6单元02-08、05-01地块局部调整（实施深化）
",2016-09-06
40,"
祝桥中心镇核心区（PDS7-0102单元）控规I街坊局部调整（实施深化）
",2016-08-15
41,"
川沙经济园区PDS6-0101单元5A街坊外环南河以北及7A、7B街坊五灶港以南控详规划局部调整（实施深...
",2016-07-12
42,"
中国科学院上海浦东科技园（Z00-1701单元）控制性详细规划B1-2、B-1-5地块局部调整（实施深化）
",2016-06-13
43,"
张江高科技园区科研教育区控详规划5街坊局部调整（实施深化）
",2016-06-08
44,"
浦东新区川沙镇经济园区控详规划9街坊局部调整（实施深化）
",2016-05-24
45,"
世博会后滩地区低碳商务区控制性详细规划
",2016-05-23
46,"
浦东新区大治河生态廊道（S2-G1501段）专项规划
",2016-05-17
47,"
浦东新区塘桥社区单元（C000502单元）11街坊控制性详细规划局部调整（实施深化）（仁济医院扩建...
",2016-05-17
48,"
上海市浦东新区唐镇PDPO-0403单元控制性详细规划修编
",2016-04-29
49,"
上海市浦东新区新场镇历史文化风貌区控制性详细规划A街坊局部调整（实施深化）
",2016-04-15
50,"
上海市浦东新区周浦镇08单元控制性详细规划06街坊局部调整（实施深化）
",2016-04-15
51,"
上海市浦东新区新场镇PDS2-0102单元控制性详细规划C街坊C-06地块局部调整（实施深化）
",2016-03-17
52,"
上海市高桥新市镇北单元C02B街坊局部调整（实施深化）
",2015-12-28
53,"
浦东新区川沙经济园区PDS6-0101单元控制性详细规划局部调整
",2015-12-09
54,"
浦东新区养老设施布局专项规划（2014-2020）
",2015-11-11
55,"
浦东新区人民政府关于同意川沙经济园区PDS6-0101单元控详规划局部调整5B街坊实施方案的批复
",2015-10-16
56,"
《浦东新区PDPO-0704单元（川沙生态绿地单元）滨江森林公园二期带征地（华东路地块）控制性详细...
",2015-07-17
57,"
上海市黄浦江南延伸段三林滨江南片地区（Z000801单元）东区控制性详细规划10、13街坊增补图则和1...
",2015-07-07
58,"
新场旅游综合服务区控制性详细规划B1街坊局部调整（实施深化）
",2015-07-07
59,"
张江高科技园区东单元控制性详细规划6街坊局部调整（实施深化）
",2015-07-03
60,"
浦东新区金桥汽车产业制造、研发、配套单元（Y000701）控制性详细规划重点地区附加图则
",2015-07-02
61,"
浦东新区北蔡镇南新社区Z001001单元控制性详细规划02街坊局部调整（实施深化）
",2015-07-01
62,"
浦东新区北蔡御桥社区Z00-0902单元控详规划03A等街坊（御桥软件园）局部调整
",2015-06-12
63,"
上海市浦东新区航头镇PDS1-0202镇北社区单元控制性详细规划
",2015-05-23
64,"
浦东新区张江镇Z00-1702编制单元（张江中区东单元）控规D-1街坊实施深化
",2015-05-10
65,"
高桥新市镇南单元（0Y00-0403）控制性详细规划02、06街坊实施方案
",2015-05-04
66,"
曹路中心镇区单元D4D、D4E街坊控制性详细规划局部调整
",2015-05-04
67,"
高桥工业小区单元Y000102（港城路车辆段综合利用项目）控详规划局部调整控制性详细规划局部调整
",2015-04-30
68,"
浦东新区北蔡社区Z000501单元（白杨路以西片区）控制性详细规划
",2015-04-23
69,"
浦东新区惠南宣桥社区北一单元（PDS3-0102）控制性详细规划N、P、R街坊局部调整实施深化
",2015-04-15
70,"
商飞基地单元PDS7-0201控制性详细规划A02、A03、A04街坊局部调整
",2015-04-01
71,"
浦东新区惠南镇东城区北单元（PDS3-0202）5街坊控制性详细规划局部调整（实施深化）
",2015-02-16
72,"
浦东新区曹路镇PDP0-0304单元（曹路集镇单元）控制性详细规划A5B、A8街坊局部调整（实施深化）
",2014-12-18
73,"
三林杨东单元Z000601编制单元17街坊局部调整（保障性住房）控制性详细规划局部调整（实施深化）
",2014-12-09
74,"
黄浦江南延伸段前滩地区Z000801单元控制性详细规划43街坊局部调整（实施深化）
",2014-12-03
75,"
上海市黄浦江南延伸段三林滨江南片区（Z000801单元）东区控制性详细规划
",2014-11-25
76,"
上海市浦东新区金杨新村街道Y001005单元07街坊控详规划实施方案
",2014-11-18
77,"
上海市周浦中心镇02单元北块A1街坊局部地块控制性详细规划实施方案
",2014-11-07
78,"
浦东新区周浦中心镇零星地块控制性详细规划
",2014-10-28
79,"
上海市中低价“四高”示范居住区PDP0-1004单元W-5街坊局部调整（实施深化）
",2014-09-19
80,"
黄浦江南延伸段前滩地区Z000801单元控制性详细规划58街坊局部调整（实施深化）
",2014-09-14
81,"
浦东新区上钢新村街道上钢单元Z000103编制单元03街坊局部调整（实施深化）
",2014-09-10
82,"
上海国际医学园区控制性详细规划（修编）46、47街坊局部调整控制性详细规划局部调整（实施深化）
",2014-08-29
83,"
浦东新区康桥PDP0-0902、PDP0-1001单元部分街坊控制性详细规划
",2014-08-12
84,"
浦东新区金桥出口加工区Y00-1202单元控制性详细规划75街坊局部调整（实施深化）
",2014-08-02
85,"
浦东新区航头镇镇南社区单元控制性详细规划04-01、04-02、04-03街坊局部调整控制性详细规划局部...
",2014-08-02
86,"
浦东新区北蔡御桥社区单元（Z000902）控制性详细规划13街坊局部调整
",2014-08-02
87,"
浦东新区三林懿德PDP0-0802单元控制性详细规划
",2014-07-12
88,"
浦东新区唐镇中心镇区PDP0-0405编制单元控制性详细规划C-13街坊局部调整（实施深化）
",2014-07-12
89,"
浦东新区洋泾社区C000202编制单元控制性详细规划1-08街坊局部调整（实施深化）
",2014-07-01
90,"
曹路天然气高中压调压站专项规划
",2014-06-11
91,"
浦东新区张江集镇Z001603单元控详规划A-2、3，B-5、6，C2街坊局部调整
",2014-05-26
92,"
上海市浦东新区张江集成电路产业区（首期）Z00-1901单元控制性详细规划1街坊局部调整（实施深化...
",2014-05-26
93,"
浦东新区三林懿德单元PDP0-0802控制性详细规划B1街坊局部调整（实施方案）修建性详细规划
",2014-05-13
94,"
张江光电子产业园单元PDP0-0602控制性详细规划C1街坊实施方案修建性详细规划
",2014-05-09
95,"
浦东新区老港集镇单元（PDS8-0101）控制性详细规划C-5街坊局部调整（实施方案）修建性详细规划
",2014-05-04
96,"
上海市浦东新区航头镇大麦湾工业园区PDS1-0207单元备用地控制性详细规划局部调整（实施深化）
",2014-04-28
97,"
上海市浦东新区金桥停车场地块综合利用项目控制性详细规划局部调整
",2014-04-28
98,"
上海市浦东新区惠南老镇区单元（PDS3-0205）控制性详细规划局部街坊（实施深化）
",2014-04-19
99,"
上海市浦东新区周浦中心镇区西单元PDP0-1002控制性详细规划修编
",2014-04-04
100,"
上海市浦东新区航头镇PDS1-0205单元局部街坊控制性详细规划
",2014-03-28
101,"
南码头社区Z000302单元控制性详细规划14街坊局部调整（实施方案）
",2014-02-18
102,"
浦东新区惠南镇野生动物园单元（PDS3-0103）西乐路地块控制性详细规划（实施深化）
",2014-02-18
103,"
关于《浦东新区土地利用总体规划（2010-2020年）》的公告（沪府（2014）16号）
",2014-02-12
104,"
浦东新区川沙机场都市园区单元PDP0-0708华洲路地块控制性详细规划（实施深化）
",2014-01-23
105,"
浦东新区惠南东南社区（PDS3-0210单元）控制性详细规划
",2014-01-08
106,"
浦东新区塘桥社区C000502单元控制性详细规划04街坊实施深化
",2014-01-08
107,"
浦东新区高桥新市镇南单元（OYOO-0403单元）B街坊实施深化
",2014-01-08
108,"
上海市保障性住房三林基地控制性详细规划B1街坊局部调整（实施方案）
",2013-12-26
109,"
洋泾街道东单元C000204编制单元1-04-10地块控制性详细规划局部调整（实施深化）
",2013-12-21
110,"
上海市浦东新区周浦镇西社区（PDP0-1001单元）控制性详细规划修编（原周浦02单元）
",2013-12-19
111,"
浦东新区黄浦江北延伸段EN6单元（滨江森林公园单元PDPO-0101）02街坊局部调整（实施深化）
",2013-12-03
112,"
浦东新区惠南东城区中单元PDS3-0203控制性详细规划A7、A10街坊局部调整（实施深化）
",2013-11-27
113,"
上海市浦东新区洋泾社区C000202单元控制性详细规划1-04～1-07街坊局部调整（实施深化）
",2013-11-04
114,"
浦东新区惠南东城区中单元PDS3-0203控制性详细规划C1-5街坊局部调整
",2013-10-29
