﻿未来猿人,L223,L2,(8620) 3808 8211,男装
未来猿人,L223,L2,(8620) 3808 8211,女装
三叶草,MU39,MU,,休闲服 / 运动用品
艾高,M24,M,(8620) 3868 2134,休闲服 / 运动用品
Aimer,M46,M,(8620) 3437 0267,女装
Aimer,M46,M,(8620) 3437 0267,男装
apm,M58,M,(8620) 3720 9913,珠宝 / 钟表 / 饰品
Armani,MU51,MU,(8620) 3868 2520,休闲服 / 运动用品
﻿雅狮威,M25,M,(8620) 3288 6480,休闲服 / 运动用品
Bang,M11,M,(8620) 3868 2939,影音 / 电器用品
bauhaus,M63,M,(8620) 3868 2034 ,休闲服 / 运动用品
美丽田园,MU01b,MU,(8620) 3868 2286 ,保健 / 美容护理
博士音响,M13,M,(8620) 3868 2083 ,影音 / 电器用品
Bottega,L119,L1,(8620)  3891 5875,鞋 / 包 / 皮具用品
播,M60,M,(8620) 3868 2035,女装
BURBERRY,L117,L1,(8620) 3868 2405,男装
﻿BURBERRY,L117,L1,(8620) 3868 2405,女装
BURBERRY,L117,L1,(8620) 3868 2405,鞋 / 包 / 皮具用品
BVLGARI,L124,L1,(8620) 2808 6050,珠宝 / 钟表 / 饰品
Calvin,MU37,MU,(8620) 3868 2201 ,休闲服 / 运动用品
Calvin,MU50,MU,(8620) 3868 2194,女装
Calvin,MU50,MU,(8620) 3868 2194,男装
雅德诺,MU09,MU,(8620) 3868 2196,男装
卡地亚,L104,L1,(8620) 3862 5583,珠宝 / 钟表 / 饰品
﻿欧缇丽,M03,M,,保健 / 美容护理
ccshop,M65,M,(8620) 3868 2310,女装
ccshop,M65,M,(8620) 3868 2310,鞋 / 包 / 皮具用品
香奈儿,L114,L1,(8620) 8618 5050 ,鞋 / 包 / 皮具用品
香奈儿,L114,L1,(8620) 8618 5050 ,女装
香奈儿,L114,L1,(8620) 8618 5050 ,珠宝 / 钟表 / 饰品
香奈儿,MU26,MU,(8620) 3816 5505,保健 / 美容护理
CHARLES,M26,M,(8620) 3868 2122,鞋 / 包 / 皮具用品
﻿中艺(香港),L210,L2,(8620) 3868 2465,工艺 / 家居 / 礼品
中艺(香港),L210,L2,(8620) 3868 2465,珠宝 / 钟表 / 饰品
:CHOCOOLATE,M17&M18;,MU,(8620) 3868 2160,女装
:CHOCOOLATE,M17&M18;,MU,(8620) 3868 2160,男装
周生生,MU04,MU,(8620) 3868 2409,珠宝 / 钟表 / 饰品
蔻驰,L218&L219;,L2,(8620) 2808 6003,鞋 / 包 / 皮具用品
哥文花园,M15,M,(8620)3808 8166,女装
C.P.U.,M55,M,(8620) 3868 2957,鞋 / 包 / 皮具用品
﻿华润堂,M22,M,(8620) 3868 2152,保健 / 美容护理
速写,M56,M,(8620) 3868 2189,男装
DAZZLE,M45,M,(8620) 3868 5019,女装
十如仕,M32,M,(8620) 3868 2480,男装
迪奥,L111,L1,4001 208 835,女装
迪奥,L111,L1,4001 208 835,鞋 / 包 / 皮具用品
Dior迪奥化妆...,MU14,MU,(8620) 3833 1295,保健 / 美容护理
迪奥男装,L121,L1,4001 208 836,男装
﻿杜嘉班纳,L116,L1,(8620) 3862 5711,女装
杜嘉班纳,L116,L1,(8620) 3862 5711,鞋 / 包 / 皮具用品
杜嘉班纳,L234,L2,(8620) 8398 0332,男装
杜嘉班纳,L234,L2,(8620) 8398 0332,鞋 / 包 / 皮具用品
Dr.,M49,M,(8620) 3868 2965,鞋 / 包 / 皮具用品
drivepro,L227,L2,,工艺 / 家居 / 礼品
E,M04,M,(8620) 3868 2586,女装
eGG*眼镜,M16,M,,珠宝 / 钟表 / 饰品
﻿EIN,MU47,MU,(8620) 3868 2022 ,女装
eq:iq,M48,M,(8620) 3818 2953,女装
EVISU,MU52,MU,(8620) 3808 8193,男装
"EXCEPTION,",MU35,MU,(8620) 3868 2327,女装
"EXCEPTION,",MU35,MU,(8620) 3868 2327,男装
方所,MU35,MU,(8620) 3868 2327,女装
方所,MU35,MU,(8620) 3868 2327,生活时尚
方所,MU35,MU,(8620) 3868 2327,男装
﻿芬廸,L115,L1,(8620) 3868 2146 ,女装
芬廸,L115,L1,(8620) 3868 2146 ,鞋 / 包 / 皮具用品
芬廸,L115,L1,(8620) 3868 2146 ,男装
FILA,M44,M,(8620) 3868 5029,休闲服 / 运动用品
斐乐童装,M36,M,(8620)3883 7563,童装 / 玩具
5+,M06,M,(8620) 3868 2089/3808 8196,女装
馥蕾诗,MU27,MU,(8620) 3808 8302,保健 / 美容护理
G2000,M28,M,(8620) 3868 2010,女装
﻿G2000,M28,M,(8620) 3868 2010,男装
GIADA,L232,L2,(8620) 3868 2158,女装
giordano/lad...,M67,M,(8620) 3868 2031,女装
乔治·阿玛尼,L102,L1,(8620) 3868 2510,男装
乔治·阿玛尼,L102,L1,(8620) 3868 2510,女装
Giuseppe,L108,L1,(8620) 8333 7959,鞋 / 包 / 皮具用品
纪梵希,L105,L1,(8620) 3808 8230,男装
纪梵希,L105,L1,(8620) 3808 8230,女装
﻿革新舍,L111b,L1,(8620) 3868 2986 ,服务
古驰,L113 & L217,L1,(8620) 38915 625 / 3889 4681,工艺 / 家居 / 礼品
古驰,L113 & L217,L1,(8620) 38915 625 / 3889 4681,珠宝 / 钟表 / 饰品
古驰,L113 & L217,L1,(8620) 38915 625 / 3889 4681,男装
古驰,L113 & L217,L1,(8620) 38915 625 / 3889 4681,女装
古驰,L113 & L217,L1,(8620) 38915 625 / 3889 4681,鞋 / 包 / 皮具用品
古驰,L113 & L217,L2,(8620) 38915 625 / 3889 4681,工艺 / 家居 / 礼品
古驰,L113 & L217,L2,(8620) 38915 625 / 3889 4681,女装
﻿古驰,L113 & L217,L2,(8620) 38915 625 / 3889 4681,珠宝 / 钟表 / 饰品
古驰,L113 & L217,L2,(8620) 38915 625 / 3889 4681,男装
古驰,L113 & L217,L2,(8620) 38915 625 / 3889 4681,鞋 / 包 / 皮具用品
芭曲,L209,L2,(8620) 3808 8338,保健 / 美容护理
爱马仕,L112,L1,(8620) 3868 2511 ,女装
爱马仕,L112,L1,(8620) 3868 2511 ,男装
爱马仕,L216,L2,(8620) 3868 2511 ,鞋 / 包 / 皮具用品
爱马仕,L216,L2,(8620) 3868 2511 ,男装
﻿爱马仕,L216,L2,(8620) 3868 2511 ,女装
initial,M57,M,(8620) 3808 8370,男装
initial,M57,M,(8620) 3808 8370,女装
悦诗风吟,M66,M,(8620) 8398 0359,保健 / 美容护理
i.t,MU29&30,MU,(8620) 3868 2633 ,主力店
I.T,L224,L2,(8620) 3808 8216,女装
I.T,L224,L2,(8620) 3808 8216,男装
http://www.i...,MU01,MU,(8620) 3868 2396,女装
﻿http://www.i...,MU01,MU,(8620) 3868 2396,男装
洁服士,L209c,L2,(8620) 3868 5192,服务
Jessica,M64,M,(8620) 3833 0501,女装
江南布衣,M31,M,(8620) 3868 2123 ,女装
江南布衣童装,M40,M,(8620) 3808 8201,童装 / 玩具
祖·玛珑,MU53,MU,(8620) 3808 8696,保健 / 美容护理
卓雅,MU38,MU,(8620) 8331 2764 ,女装
Juicy,MU12,MU,(8620) 3808 8689,女装
﻿茱莉蔻,MU25,MU,(8620) 3808 8312,保健 / 美容护理
卡米尼童装,M37a,M,(8620) 3868 2595 ,童装 / 玩具
凯卓,L202,L2,(8620) 3808 8213,男装
凯卓,L202,L2,(8620) 3808 8213,女装
kidsland,M37b,M,(8620) 3868 2262,童装 / 玩具
KOYO,M02,M,(8620) 3868 2011,男装
KOYO,M02,M,(8620) 3868 2011,女装
LACOSTE,MU36,MU,(8620) 3868 2006,休闲服 / 运动用品
﻿乐高品牌专卖店,M38&M39;,M,(8620) 3868 2262,童装 / 玩具
亮视点眼镜,MU24,MU,(8620) 3868 2157 ,珠宝 / 钟表 / 饰品
L'OCCITANE,MU31,MU,(8620) 3868 2202,保健 / 美容护理
珑骧,L205,L2,(8620) 3868 2466,鞋 / 包 / 皮具用品
Loro,L103,L1,(8620) 3808 8321,女装
Loro,L103,L1,(8620) 3808 8321,男装
路易威登,L101,L1,(86) 400 6588 555,珠宝 / 钟表 / 饰品
路易威登,L101,L1,(86) 400 6588 555,鞋 / 包 / 皮具用品
﻿路易威登,L101,L1,(86) 400 6588 555,男装
路易威登,L201,L2, (86) 400 6588 555 ,男装
路易威登,L201,L2, (86) 400 6588 555 ,女装
路易威登,L201,L2, (86) 400 6588 555 ,珠宝 / 钟表 / 饰品
路易威登,L201,L2, (86) 400 6588 555 ,鞋 / 包 / 皮具用品
lululemon,MU48,MU,,休闲服 / 运动用品
maje,L206,L2,(8620) 3808 8206,女装
万宁,M14,M,(8620) 3868 2290,保健 / 美容护理
﻿MARYLING,L226,L2,(8620) 3868 2206,女装
麦克斯·马勒,L120,L1,(8620) 3868 2563,女装
MISS,MU10,MU,(8620) 3868 2793,女装
MIU,L110b,L1,(8620) 2808 6007,女装
摩安珂,M43,M,(8620) 3808 8699,女装
MO&CO.edition;,M27,M,(8620) 8708 5079,女装
万宝龙,L123,L1,(8620) 3868 2589,珠宝 / 钟表 / 饰品
Moschino,L220,M,(8620)3893 9640,女装
﻿Moschino,L220,M,(8620)3893 9640,男装
木九十,M61,M,(8620)3809 4248,珠宝 / 钟表 / 饰品
迈思,M05,M,(8620) 3868 2021,鞋 / 包 / 皮具用品
耐克,MU11,MU,(8620) 3809 4861,休闲服 / 运动用品
怡夕,L207&L208;,L2,(8620) 3868 2707,女装
"ochirly,",M29,M,(8620) 3868 2089 ,男装
"ochirly,",M29,M,(8620) 3868 2089 ,女装
Ole',M21,M,(8620) 3868 2166,主力店
﻿欧米茄,L214,L2,(8620) 3868 2020,珠宝 / 钟表 / 饰品
OSIM,M10,M,(8620) 3882 0377,影音 / 电器用品
潘多拉,MU54,MU,(8620) 3868 5050,珠宝 / 钟表 / 饰品
小帆船,M34,M,,童装 / 玩具
PIAGET,L122,L1,(8620) 3868 2425,珠宝 / 钟表 / 饰品
PRADA,L125,L1,(8620) 2808 6018,珠宝 / 钟表 / 饰品
PRADA,L125,L1,(8620) 2808 6018,男装
PRADA,L125,L1,(8620) 2808 6018,女装
﻿PRADA,L233,L2,(8620) 2808 6018,鞋 / 包 / 皮具用品
PRADA,L233,L2,(8620) 2808 6018,男装
PRADA,L233,L2,(8620) 2808 6018,女装
茶愫,M47,M,(8620) 3893 6354,女装
溥仪眼镜,L221&L222;,L2,(8620) 2808 6026,珠宝 / 钟表 / 饰品
